id,department,program,semester,section
S_CS_BS_01A001,CS,BS,1,1A
S_CS_BS_01A002,CS,BS,1,1A
S_CS_BS_01A003,CS,BS,1,1A
S_CS_BS_01A004,CS,BS,1,1A
S_CS_BS_01A005,CS,BS,1,1A
S_CS_BS_01A006,CS,BS,1,1A
S_CS_BS_01A007,CS,BS,1,1A
S_CS_BS_01A008,CS,BS,1,1A
S_CS_BS_01A009,CS,BS,1,1A
S_CS_BS_01A010,CS,BS,1,1A
S_CS_BS_01A011,CS,BS,1,1A
S_CS_BS_01A012,CS,BS,1,1A
S_CS_BS_01A013,CS,BS,1,1A
S_CS_BS_01A014,CS,BS,1,1A
S_CS_BS_01A015,CS,BS,1,1A
S_CS_BS_01A016,CS,BS,1,1A
S_CS_BS_01A017,CS,BS,1,1A
S_CS_BS_01A018,CS,BS,1,1A
S_CS_BS_01A019,CS,BS,1,1A
S_CS_BS_01A020,CS,BS,1,1A
S_CS_BS_01A021,CS,BS,1,1A
S_CS_BS_01A022,CS,BS,1,1A
S_CS_BS_01A023,CS,BS,1,1A
S_CS_BS_01A024,CS,BS,1,1A
S_CS_BS_01A025,CS,BS,1,1A
S_CS_BS_01A026,CS,BS,1,1A
S_CS_BS_01A027,CS,BS,1,1A
S_CS_BS_01A028,CS,BS,1,1A
S_CS_BS_01A029,CS,BS,1,1A
S_CS_BS_01A030,CS,BS,1,1A
S_CS_BS_01A031,CS,BS,1,1A
S_CS_BS_01A032,CS,BS,1,1A
S_CS_BS_01A033,CS,BS,1,1A
S_CS_BS_01A034,CS,BS,1,1A
S_CS_BS_01A035,CS,BS,1,1A
S_CS_BS_01B001,CS,BS,1,1B
S_CS_BS_01B002,CS,BS,1,1B
S_CS_BS_01B003,CS,BS,1,1B
S_CS_BS_01B004,CS,BS,1,1B
S_CS_BS_01B005,CS,BS,1,1B
S_CS_BS_01B006,CS,BS,1,1B
S_CS_BS_01B007,CS,BS,1,1B
S_CS_BS_01B008,CS,BS,1,1B
S_CS_BS_01B009,CS,BS,1,1B
S_CS_BS_01B010,CS,BS,1,1B
S_CS_BS_01B011,CS,BS,1,1B
S_CS_BS_01B012,CS,BS,1,1B
S_CS_BS_01B013,CS,BS,1,1B
S_CS_BS_01B014,CS,BS,1,1B
S_CS_BS_01B015,CS,BS,1,1B
S_CS_BS_01B016,CS,BS,1,1B
S_CS_BS_01B017,CS,BS,1,1B
S_CS_BS_01B018,CS,BS,1,1B
S_CS_BS_01B019,CS,BS,1,1B
S_CS_BS_01B020,CS,BS,1,1B
S_CS_BS_01B021,CS,BS,1,1B
S_CS_BS_01B022,CS,BS,1,1B
S_CS_BS_01B023,CS,BS,1,1B
S_CS_BS_01B024,CS,BS,1,1B
S_CS_BS_01B025,CS,BS,1,1B
S_CS_BS_01B026,CS,BS,1,1B
S_CS_BS_01B027,CS,BS,1,1B
S_CS_BS_01B028,CS,BS,1,1B
S_CS_BS_01B029,CS,BS,1,1B
S_CS_BS_01B030,CS,BS,1,1B
S_CS_BS_01B031,CS,BS,1,1B
S_CS_BS_01B032,CS,BS,1,1B
S_CS_BS_01B033,CS,BS,1,1B
S_CS_BS_01B034,CS,BS,1,1B
S_CS_BS_01B035,CS,BS,1,1B
S_CS_BS_01B036,CS,BS,1,1B
S_CS_BS_01B037,CS,BS,1,1B
S_CS_BS_01B038,CS,BS,1,1B
S_CS_BS_01C001,CS,BS,1,1C
S_CS_BS_01C002,CS,BS,1,1C
S_CS_BS_01C003,CS,BS,1,1C
S_CS_BS_01C004,CS,BS,1,1C
S_CS_BS_01C005,CS,BS,1,1C
S_CS_BS_01C006,CS,BS,1,1C
S_CS_BS_01C007,CS,BS,1,1C
S_CS_BS_01C008,CS,BS,1,1C
S_CS_BS_01C009,CS,BS,1,1C
S_CS_BS_01C010,CS,BS,1,1C
S_CS_BS_01C011,CS,BS,1,1C
S_CS_BS_01C012,CS,BS,1,1C
S_CS_BS_01C013,CS,BS,1,1C
S_CS_BS_01C014,CS,BS,1,1C
S_CS_BS_01C015,CS,BS,1,1C
S_CS_BS_01C016,CS,BS,1,1C
S_CS_BS_01C017,CS,BS,1,1C
S_CS_BS_01C018,CS,BS,1,1C
S_CS_BS_01C019,CS,BS,1,1C
S_CS_BS_01C020,CS,BS,1,1C
S_CS_BS_01C021,CS,BS,1,1C
S_CS_BS_01C022,CS,BS,1,1C
S_CS_BS_01C023,CS,BS,1,1C
S_CS_BS_01C024,CS,BS,1,1C
S_CS_BS_01C025,CS,BS,1,1C
S_CS_BS_01C026,CS,BS,1,1C
S_CS_BS_01C027,CS,BS,1,1C
S_CS_BS_01C028,CS,BS,1,1C
S_CS_BS_01C029,CS,BS,1,1C
S_CS_BS_01C030,CS,BS,1,1C
S_CS_BS_01C031,CS,BS,1,1C
S_CS_BS_01C032,CS,BS,1,1C
S_CS_BS_01C033,CS,BS,1,1C
S_CS_BS_01C034,CS,BS,1,1C
S_CS_BS_01C035,CS,BS,1,1C
S_CS_BS_01C036,CS,BS,1,1C
S_CS_BS_01C037,CS,BS,1,1C
S_CS_BS_02A001,CS,BS,2,2A
S_CS_BS_02A002,CS,BS,2,2A
S_CS_BS_02A003,CS,BS,2,2A
S_CS_BS_02A004,CS,BS,2,2A
S_CS_BS_02A005,CS,BS,2,2A
S_CS_BS_02A006,CS,BS,2,2A
S_CS_BS_02A007,CS,BS,2,2A
S_CS_BS_02A008,CS,BS,2,2A
S_CS_BS_02A009,CS,BS,2,2A
S_CS_BS_02A010,CS,BS,2,2A
S_CS_BS_02A011,CS,BS,2,2A
S_CS_BS_02A012,CS,BS,2,2A
S_CS_BS_02A013,CS,BS,2,2A
S_CS_BS_02A014,CS,BS,2,2A
S_CS_BS_02A015,CS,BS,2,2A
S_CS_BS_02A016,CS,BS,2,2A
S_CS_BS_02A017,CS,BS,2,2A
S_CS_BS_02A018,CS,BS,2,2A
S_CS_BS_02A019,CS,BS,2,2A
S_CS_BS_02A020,CS,BS,2,2A
S_CS_BS_02A021,CS,BS,2,2A
S_CS_BS_02A022,CS,BS,2,2A
S_CS_BS_02A023,CS,BS,2,2A
S_CS_BS_02A024,CS,BS,2,2A
S_CS_BS_02A025,CS,BS,2,2A
S_CS_BS_02A026,CS,BS,2,2A
S_CS_BS_02A027,CS,BS,2,2A
S_CS_BS_02A028,CS,BS,2,2A
S_CS_BS_02A029,CS,BS,2,2A
S_CS_BS_02A030,CS,BS,2,2A
S_CS_BS_02A031,CS,BS,2,2A
S_CS_BS_02A032,CS,BS,2,2A
S_CS_BS_02A033,CS,BS,2,2A
S_CS_BS_02A034,CS,BS,2,2A
S_CS_BS_02A035,CS,BS,2,2A
S_CS_BS_02A036,CS,BS,2,2A
S_CS_BS_02A037,CS,BS,2,2A
S_CS_BS_02A038,CS,BS,2,2A
S_CS_BS_02A039,CS,BS,2,2A
S_CS_BS_02B001,CS,BS,2,2B
S_CS_BS_02B002,CS,BS,2,2B
S_CS_BS_02B003,CS,BS,2,2B
S_CS_BS_02B004,CS,BS,2,2B
S_CS_BS_02B005,CS,BS,2,2B
S_CS_BS_02B006,CS,BS,2,2B
S_CS_BS_02B007,CS,BS,2,2B
S_CS_BS_02B008,CS,BS,2,2B
S_CS_BS_02B009,CS,BS,2,2B
S_CS_BS_02B010,CS,BS,2,2B
S_CS_BS_02B011,CS,BS,2,2B
S_CS_BS_02B012,CS,BS,2,2B
S_CS_BS_02B013,CS,BS,2,2B
S_CS_BS_02B014,CS,BS,2,2B
S_CS_BS_02B015,CS,BS,2,2B
S_CS_BS_02B016,CS,BS,2,2B
S_CS_BS_02B017,CS,BS,2,2B
S_CS_BS_02B018,CS,BS,2,2B
S_CS_BS_02B019,CS,BS,2,2B
S_CS_BS_02B020,CS,BS,2,2B
S_CS_BS_02B021,CS,BS,2,2B
S_CS_BS_02B022,CS,BS,2,2B
S_CS_BS_02B023,CS,BS,2,2B
S_CS_BS_02B024,CS,BS,2,2B
S_CS_BS_02B025,CS,BS,2,2B
S_CS_BS_02B026,CS,BS,2,2B
S_CS_BS_02B027,CS,BS,2,2B
S_CS_BS_02B028,CS,BS,2,2B
S_CS_BS_02B029,CS,BS,2,2B
S_CS_BS_02B030,CS,BS,2,2B
S_CS_BS_02B031,CS,BS,2,2B
S_CS_BS_02B032,CS,BS,2,2B
S_CS_BS_02B033,CS,BS,2,2B
S_CS_BS_02B034,CS,BS,2,2B
S_CS_BS_02B035,CS,BS,2,2B
S_CS_BS_02B036,CS,BS,2,2B
S_CS_BS_02C001,CS,BS,2,2C
S_CS_BS_02C002,CS,BS,2,2C
S_CS_BS_02C003,CS,BS,2,2C
S_CS_BS_02C004,CS,BS,2,2C
S_CS_BS_02C005,CS,BS,2,2C
S_CS_BS_02C006,CS,BS,2,2C
S_CS_BS_02C007,CS,BS,2,2C
S_CS_BS_02C008,CS,BS,2,2C
S_CS_BS_02C009,CS,BS,2,2C
S_CS_BS_02C010,CS,BS,2,2C
S_CS_BS_02C011,CS,BS,2,2C
S_CS_BS_02C012,CS,BS,2,2C
S_CS_BS_02C013,CS,BS,2,2C
S_CS_BS_02C014,CS,BS,2,2C
S_CS_BS_02C015,CS,BS,2,2C
S_CS_BS_02C016,CS,BS,2,2C
S_CS_BS_02C017,CS,BS,2,2C
S_CS_BS_02C018,CS,BS,2,2C
S_CS_BS_02C019,CS,BS,2,2C
S_CS_BS_02C020,CS,BS,2,2C
S_CS_BS_02C021,CS,BS,2,2C
S_CS_BS_02C022,CS,BS,2,2C
S_CS_BS_02C023,CS,BS,2,2C
S_CS_BS_02C024,CS,BS,2,2C
S_CS_BS_02C025,CS,BS,2,2C
S_CS_BS_02C026,CS,BS,2,2C
S_CS_BS_02C027,CS,BS,2,2C
S_CS_BS_02C028,CS,BS,2,2C
S_CS_BS_02C029,CS,BS,2,2C
S_CS_BS_02C030,CS,BS,2,2C
S_CS_BS_02C031,CS,BS,2,2C
S_CS_BS_02C032,CS,BS,2,2C
S_CS_BS_02C033,CS,BS,2,2C
S_CS_BS_02C034,CS,BS,2,2C
S_CS_BS_02C035,CS,BS,2,2C
S_CS_BS_02C036,CS,BS,2,2C
S_CS_BS_02C037,CS,BS,2,2C
S_CS_BS_02C038,CS,BS,2,2C
S_CS_BS_02C039,CS,BS,2,2C
S_CS_BS_02C040,CS,BS,2,2C
S_CS_BS_02C041,CS,BS,2,2C
S_CS_BS_02C042,CS,BS,2,2C
S_CS_BS_02C043,CS,BS,2,2C
S_CS_BS_02C044,CS,BS,2,2C
S_CS_BS_02C045,CS,BS,2,2C
S_CS_BS_02C046,CS,BS,2,2C
S_CS_BS_03A001,CS,BS,3,3A
S_CS_BS_03A002,CS,BS,3,3A
S_CS_BS_03A003,CS,BS,3,3A
S_CS_BS_03A004,CS,BS,3,3A
S_CS_BS_03A005,CS,BS,3,3A
S_CS_BS_03A006,CS,BS,3,3A
S_CS_BS_03A007,CS,BS,3,3A
S_CS_BS_03A008,CS,BS,3,3A
S_CS_BS_03A009,CS,BS,3,3A
S_CS_BS_03A010,CS,BS,3,3A
S_CS_BS_03A011,CS,BS,3,3A
